index,protID,geneID,geneName,
434,Q08345,ENSG00000204580,DDR1,
435,P49802,ENSG00000182901,RGS7,
436,P0CG48,ENSG00000150991,UBC,
437,P60484,ENSG00000171862,PTEN,
438,P55072,ENSG00000165280,VCP,
439,Q14573,ENSG00000096433,ITPR3,
440,P21980,ENSG00000198959,TGM2,
441,P32121,ENSG00000141480,ARRB2,
442,Q16186,ENSG00000130706,ADRM1,
443,Q16665,ENSG00000100644,HIF1A,
444,O95786,ENSG00000107201,DDX58,
445,Q9NYJ8,ENSG00000055208,TAB2,
446,P26358,ENSG00000130816,DNMT1,
447,P08069,ENSG00000140443,IGF1R,
448,Q96FW1,ENSG00000167770,OTUB1,
449,Q96RU2,ENSG00000048028,USP28,
450,Q99062,ENSG00000119535,CSF3R,
451,Q9UNA4,ENSG00000101751,POLI,
452,P42224,ENSG00000115415,STAT1,
453,P07900,ENSG00000080824,HSP90AA1,
454,P15976,ENSG00000102145,GATA1,
455,P09874,ENSG00000143799,PARP1,
456,P54727,ENSG00000119318,RAD23B,
457,Q9NS91,ENSG00000070950,RAD18,
458,Q15797,ENSG00000170365,SMAD1,
459,Q04206,ENSG00000173039,RELA,
460,Q9BXM7,ENSG00000158828,PINK1,
461,P35226,ENSG00000168283,BMI1,
462,P21580,ENSG00000118503,TNFAIP3,
463,Q96S55,ENSG00000124535,WRNIP1,
464,P37231,ENSG00000132170,PPARG,
465,Q9UBZ9,ENSG00000135945,REV1,
466,Q9Y6K9,ENSG00000269335,IKBKG,
467,P55036,ENSG00000159352,PSMD4,
468,Q9Y6I4,ENSG00000140455,USP3,
469,P16220,ENSG00000118260,CREB1,
470,Q14191,ENSG00000165392,WRN,
471,P61077,ENSG00000109332,UBE2D3,
472,Q96G74,ENSG00000068308,OTUD5,
473,P63146,ENSG00000119048,UBE2B,
474,Q07817,ENSG00000171552,BCL2L1,
475,Q14596,ENSG00000188554,NBR1,
476,P11166,ENSG00000117394,SLC2A1,
477,Q9Y4K3,ENSG00000175104,TRAF6,
478,O60260,ENSG00000185345,PRKN,
479,P98170,ENSG00000101966,XIAP,
480,Q15819,ENSG00000169139,UBE2V2,
481,Q96RL1,ENSG00000087206,UIMC1,
482,P07585,ENSG00000011465,DCN,
483,Q13148,ENSG00000120948,TARDBP,
484,P08235,ENSG00000151623,NR3C2,
485,P02794,ENSG00000167996,FTH1,
486,Q13107,ENSG00000114316,USP4,
487,Q13191,ENSG00000114423,CBLB,
488,Q96CV9,ENSG00000123240,OPTN,
489,P12757,ENSG00000136603,SKIL,
490,Q92542,ENSG00000162736,NCSTN,
491,Q13137,ENSG00000136436,CALCOCO2,
492,O75604,ENSG00000036672,USP2,
493,O14964,ENSG00000185359,HGS,
494,Q9H0E2,ENSG00000078902,TOLLIP,
495,Q14934,ENSG00000100968,NFATC4,
496,Q92783,ENSG00000136738,STAM,
497,Q96B97,ENSG00000147010,SH3KBP1,
498,Q9Y263,ENSG00000137055,PLAA,
499,P30793,ENSG00000131979,GCH1,
500,P09936,ENSG00000154277,UCHL1,
501,Q9Y6I3,ENSG00000063245,EPN1,
502,Q92890,ENSG00000070010,UFD1,
503,P15918,ENSG00000166349,RAG1,
504,O95071,ENSG00000104517,UBR5,
505,Q9UKV5,ENSG00000159461,AMFR,
506,P15173,ENSG00000122180,MYOG,
507,Q13351,ENSG00000105610,KLF1,
508,Q8TAT6,ENSG00000182446,NPLOC4,
509,Q9UJ41,ENSG00000154710,RABGEF1,
510,P22314,ENSG00000130985,UBA1,
511,O75886,ENSG00000115145,STAM2,
512,Q05086,ENSG00000114062,UBE3A,
513,Q86T82,ENSG00000135913,USP37,
514,P00540,ENSG00000172680,MOS,
515,Q9UJY5,ENSG00000100083,GGA1,
516,P43694,ENSG00000136574,GATA4,
517,Q9UNQ0,ENSG00000118777,ABCG2,
518,P54252,ENSG00000066427,ATXN3,
519,Q99816,ENSG00000074319,TSG101,
520,O95630,ENSG00000124356,STAMBP,
521,P50542,ENSG00000139197,PEX5,
522,P54725,ENSG00000179262,RAD23A,
523,O60784,ENSG00000100284,TOM1,
524,P40818,ENSG00000138592,USP8,
525,Q7Z6G8,ENSG00000185046,ANKS1B,
526,P45974,ENSG00000111667,USP5,
527,Q9NZ52,ENSG00000125447,GGA3,
528,Q9UK80,ENSG00000143258,USP21,
529,Q16763,ENSG00000108106,UBE2S,
530,Q96S82,ENSG00000138629,UBL7,
531,P15374,ENSG00000118939,UCHL3,
532,Q8WUN7,ENSG00000168246,UBTD2,
533,Q6GQQ9,ENSG00000264522,OTUD7B,
534,Q86VN1,ENSG00000136100,VPS36,
535,Q9Y508,ENSG00000124226,RNF114,
536,Q6NZ36,ENSG00000162585,FAAP20,
537,Q8NCN4,ENSG00000166439,RNF169,
538,P61086,ENSG00000078140,UBE2K,
539,Q9UGI0,ENSG00000019995,ZRANB1,
540,Q5D1E8,ENSG00000163874,ZC3H12A,
541,P60604,ENSG00000184787,UBE2G2,
542,Q5XPI4,ENSG00000164068,RNF123,
543,Q9Y4E8,ENSG00000135655,USP15,
544,Q15040,ENSG00000100221,JOSD1,
545,Q96NR8,ENSG00000139988,RDH12,
546,Q14247,ENSG00000085733,CTTN,
547,O14745,ENSG00000109062,SLC9A3R1,
548,P46937,ENSG00000137693,YAP1,
549,O60674,ENSG00000096968,JAK2,
550,P07333,ENSG00000182578,CSF1R,
551,P09619,ENSG00000113721,PDGFRB,
552,P16144,ENSG00000132470,ITGB4,
553,Q13480,ENSG00000109458,GAB1,
554,P11802,ENSG00000135446,CDK4,
555,P23443,ENSG00000108443,RPS6KB1,
556,P06733,ENSG00000074800,ENO1,
557,Q13177,ENSG00000180370,PAK2,
558,Q05397,ENSG00000169398,PTK2,
559,P35968,ENSG00000128052,KDR,
560,Q13625,ENSG00000143514,TP53BP2,
561,P15529,ENSG00000117335,CD46,
562,P41240,ENSG00000103653,CSK,
563,Q04917,ENSG00000128245,YWHAH,
564,Q16543,ENSG00000105401,CDC37,
565,P27635,ENSG00000147403,RPL10,
566,P17948,ENSG00000102755,FLT1,
567,P16671,ENSG00000135218,CD36,
568,Q06418,ENSG00000092445,TYRO3,
569,Q99704,ENSG00000115325,DOK1,
570,P23469,ENSG00000132334,PTPRE,
571,Q04912,ENSG00000164078,MST1R,
572,O43184,ENSG00000148848,ADAM12,
573,Q969T9,ENSG00000132471,WBP2,
574,Q8TDY4,ENSG00000088280,ASAP3,
575,P16284,ENSG00000261371,PECAM1,
576,P08100,ENSG00000163914,RHO,
577,Q8WUM4,ENSG00000170248,PDCD6IP,
578,Q9HCN6,ENSG00000088053,GP6,
579,P55259,ENSG00000169347,GP2,
580,Q9UEF7,ENSG00000133116,KL,
581,P14416,ENSG00000149295,DRD2,
582,P17600,ENSG00000008056,SYN1,
583,Q05655,ENSG00000163932,PRKCD,
584,Q96GD4,ENSG00000178999,AURKB,
585,O95622,ENSG00000173175,ADCY5,
586,Q13153,ENSG00000149269,PAK1,
587,Q08828,ENSG00000164742,ADCY1,
588,P30419,ENSG00000136448,NMT1,
589,P47736,ENSG00000076864,RAP1GAP,
590,P08908,ENSG00000178394,HTR1A,
591,O76081,ENSG00000147509,RGS20,
592,P21918,ENSG00000169676,DRD5,
593,O75396,ENSG00000265808,SEC22B,
594,Q8WVM8,ENSG00000092108,SCFD1,
595,P61586,ENSG00000067560,RHOA,
596,P50552,ENSG00000125753,VASP,
597,P35520,ENSG00000160200,CBS,
598,P38398,ENSG00000012048,BRCA1,
599,Q96A00,ENSG00000167641,PPP1R14A,
600,Q15349,ENSG00000071242,RPS6KA2,
601,P78347,ENSG00000263001,GTF2I,
602,O14974,ENSG00000058272,PPP1R12A,
603,P11831,ENSG00000112658,SRF,
604,P42684,ENSG00000143322,ABL2,
605,P04792,ENSG00000106211,HSPB1,
606,P50402,ENSG00000102119,EMD,
607,P61224,ENSG00000127314,RAP1B,
608,P21731,ENSG00000006638,TBXA2R,
609,P41235,ENSG00000101076,HNF4A,
610,P16066,ENSG00000169418,NPR1,
611,O76074,ENSG00000138735,PDE5A,
612,Q03113,ENSG00000146535,GNA12,
613,Q9Y2I7,ENSG00000115020,PIKFYVE,
614,O95297,ENSG00000197965,MPZL1,
615,P35367,ENSG00000196639,HRH1,
